question_id,component_id,component_name_zh,role,source,core_weight_contribution,counted_in_80_20,evidence,adoption_status,reimplementation_required,validation_required,notes
Q1,Q1-C1,几何光程差与相位厚度关系,CORE,PAPER_A,0.10,yes,"PDF p.5-7",ADOPT_WITH_CORRECTION,yes,"量纲;极限情形;合成峰位","相位固定π不直接继承"
Q1,Q1-C1,几何光程差与相位厚度关系,CORE,PAPER_B,0.10,yes,"PDF p.5-6",ADOPT_WITH_CORRECTION,yes,"界面相位;极值级次","忽略反射相位的假设不直接继承"
Q1,Q1-C2,晶格色散与自由载流子复介电函数,CORE,PAPER_A,0.10,yes,"PDF p.7-8",ADOPT_WITH_CORRECTION,yes,"材料参数来源;适用波段;单位","Sellmeier-Drude思想"
Q1,Q1-C2,晶格色散与自由载流子复介电函数,CORE,PAPER_B,0.15,yes,"PDF p.6-8",ADOPT_WITH_CORRECTION,yes,"参数边界;复平方根分支","Cauchy-Drude思想"
Q1,Q1-C3,s/p偏振双光束Fresnel反射率,CORE,PAPER_A,0.15,yes,"PDF p.9-10",ADOPT,yes,"能量界;无吸收极限","复振幅叠加"
Q1,Q1-C3,s/p偏振双光束Fresnel反射率,CORE,PAPER_B,0.20,yes,"PDF p.10-12",ADOPT,yes,"双角度正向合成恢复","连续强度模型"
Q1,Q1-C4,复传播分支与界面相位统一,CORE,OWN,0.20,yes,"own draft Q1; code lines 307-350",ADOPT_WITH_CORRECTION,yes,"被动分支;公式-代码-单位-缩放","作为纠错层"
Q1,Q1-MAIN,复色散双光束Fresnel测厚模型,MAIN_MODEL,HYBRID,0.00,no,"PAPER_A p.5-10; PAPER_B p.5-12; OWN Q1",RECOMMENDED,yes,"符号一致性;合成恢复;可辨识性","贡献A35% B45% OWN20%"
Q1,Q1-CM,Snell定律与Fresnel边界条件,COMMON,COMMON_METHOD,0.00,no,"标准光学方法",ADOPT,yes,"约定一致性",不参与80/20计数
Q2,Q2-C1,透明干涉波段识别与异常剔除,CORE,PAPER_A,0.10,yes,"PDF p.10-13",ADOPT_WITH_CORRECTION,yes,"波段敏感性;首点0;反射率>100%","不固定为2500-3300"
Q2,Q2-C1,透明干涉波段识别与异常剔除,CORE,PAPER_B,0.05,yes,"PDF p.9-10",ADOPT_WITH_CORRECTION,yes,"声子区与高波数区比较","不固定为1200-3000"
Q2,Q2-C2,连续反射率非线性反演,CORE,PAPER_B,0.35,yes,"PDF p.10-13",ADOPT_WITH_CORRECTION,yes,"多启动;边界命中;合成恢复","局部最小二乘需增强"
Q2,Q2-C3,同片双角度共享参数联合拟合,CORE,PAPER_B,0.20,yes,"PDF p.12-13",ADOPT,yes,"单角度留一;共享参数假设","唯一主求解结构"
Q2,Q2-C4,拟合优度与残差诊断,CORE,PAPER_A,0.05,yes,"PDF p.14-15",ADOPT_WITH_CORRECTION,yes,"残差自相关;周期性;单位","Q-Q图仅作补充"
Q2,Q2-C4,拟合优度与参数不确定性,CORE,PAPER_B,0.05,yes,"PDF p.13-15",ADOPT_WITH_CORRECTION,yes,"剖面似然;边界活跃;相关矩阵","协方差标准误差不单独证明唯一"
Q2,Q2-C5,可辨识性与稳健验证,CORE,OWN,0.20,yes,"own Q2; four-round report",ADOPT_WITH_CORRECTION,yes,"SVD;Bootstrap;波段;角度;折射率;合成恢复","连续相位作为初始化与交叉验证"
Q2,Q2-MAIN,双角度共享参数复反射率联合反演,MAIN_MODEL,HYBRID,0.00,no,"PAPER_A p.10-15; PAPER_B p.8-15; OWN Q2",RECOMMENDED,yes,"多启动;可辨识性;稳健性","贡献A15% B65% OWN20%"
Q2,Q2-CM,非线性最小二乘与RMSE_R2,COMMON,COMMON_METHOD,0.00,no,"通用数值方法",ADOPT,yes,"目标函数单位;权重",不参与80/20计数
Q3,Q3-C1,多光束物理必要条件与高阶强度,CORE,PAPER_A,0.15,yes,"PDF p.16-18",ADOPT_WITH_CORRECTION,yes,"阈值敏感性;相干长度;吸收","固定0.1%阈值不直接继承"
Q3,Q3-C1,往返公比后验条件,CORE,PAPER_B,0.05,yes,"PDF p.17-19",ADOPT_WITH_CORRECTION,yes,"q与abs(q)^2口径;直接输出","修复式(??)"
Q3,Q3-C2,Airy多光束反射率,CORE,PAPER_A,0.10,yes,"PDF p.18-19",ADOPT,yes,"M到无穷一致性;能量界","无穷级数核"
Q3,Q3-C2,Airy多光束反射率,CORE,PAPER_B,0.20,yes,"PDF p.16-17",ADOPT_WITH_CORRECTION,yes,"代码公式一致性;同波段比较","联合拟合结构"
Q3,Q3-C3,光谱形状与残差驱动诊断,CORE,PAPER_B,0.15,yes,"PDF p.18-23",ADOPT_AS_SECONDARY,yes,"阈值ROC;噪声敏感性;平滑敏感性","A不作为单独裁决"
Q3,Q3-C4,硅多光束厚度求解,CORE,PAPER_A,0.05,yes,"PDF p.19-21",ADOPT_WITH_CORRECTION,yes,"双角度联合;波段一致","分角度平均不继承"
Q3,Q3-C4,硅及SiC双角度联合重拟合,CORE,PAPER_B,0.10,yes,"PDF p.21-24",ADOPT_WITH_CORRECTION,yes,"公平目标函数;模型选择;外部真值","更差拟合不能宣称更真"
Q3,Q3-C5,Neumann余项界与有限阶收敛,CORE,OWN,0.20,yes,"own Q3; code lines 313-395 and 521-558",ADOPT_WITH_CORRECTION,yes,"符号口径;材料层接口;多种子","所有数值重算"
Q3,Q3-MAIN,物理条件_复公比_Neumann_Airy联合模型,MAIN_MODEL,HYBRID,0.00,no,"PAPER_A p.15-21; PAPER_B p.15-24; OWN Q3",RECOMMENDED,yes,"有限阶收敛;残差改善;合成恢复","贡献A30% B50% OWN20%"
Q3,Q3-CM,等比级数与非线性拟合,COMMON,COMMON_METHOD,0.00,no,"通用数学方法",ADOPT,yes,"收敛条件;容差",不参与80/20计数
