figure_id,module,file_path,caption_zh,question_answered_zh,data_source,first_reference_location,status
FIG-Q1-FLOW,Q1,modules/20_q1/figures/editable/origin_templates/reference_png/q1_flow_reference.png,Sellmeier--Drude--Fresnel双光束模型流程,从光路几何和材料参数到理论反射率如何形成,shared/code/materials.py|shared/code/optics.py,modules/20_q1/paper/q1.tex#问题一的描述与分析,IN_BODY
FIG-Q1-PATH,Q1,modules/20_q1/figures/q1_interference_schematic.png,空气--外延层--衬底双光束干涉光路,表面反射光与第一束内部反射光分别经过什么路径,ANALYTIC_GEOMETRY,modules/20_q1/paper/q1.tex#光程差与传播相位,IN_BODY
FIG-Q2-FLOW,Q2,modules/30_q2/figures/editable/origin_templates/reference_png/2.png,SiC外延层厚度反演总体流程,两个角度如何独立搜索并综合得到SiC厚度,modules/30_q2/code/solve_q2_paper_a.py,modules/30_q2/paper/q2.tex#问题二的描述与分析,IN_BODY
FIG-Q2-RAW,Q2,modules/30_q2/figures/editable/origin_templates/reference_png/01-02_原始光谱双面板.png,双角度原始红外反射光谱,拟合窗口在原始光谱中的位置及弱吸收波段特征,modules/30_q2/figures/editable/origin_templates/data/01_10度原始光谱.xlsx|modules/30_q2/figures/editable/origin_templates/data/02_15度原始光谱.xlsx,modules/30_q2/paper/q2.tex#原始光谱与拟合波段选取,IN_BODY
FIG-Q2-FIT,Q2,modules/30_q2/figures/q2_10deg_paper_a_fit.png|modules/30_q2/figures/q2_15deg_paper_a_fit.png,两个入射角独立拟合及残差,双光束模型能否恢复决定厚度的主要干涉峰谷,modules/30_q2/tables/q2_10deg_paper_a_fit.csv|modules/30_q2/tables/q2_15deg_paper_a_fit.csv,modules/30_q2/paper/q2.tex#拟合效果与残差结构,IN_BODY
FIG-Q2-BASIN,Q2,modules/30_q2/figures/editable/origin_templates/reference_png/13_多初值局部盆地图.png,多初值候选局部极小解的厚度--RMSE分布,目标函数是否存在干涉级次诱导的竞争局部盆地,modules/30_q2/tables/q2_multistart_refined.csv,modules/30_q2/paper/q2.tex#结果可靠性分析,IN_BODY
FIG-Q3-FLOW,Q3,modules/40_q3/figures/editable/origin_templates/reference_png/q3_flow_reference.png,多光束干涉分析与硅厚度反演总体流程,Airy正式反演及SiC回溯按什么顺序执行,modules/40_q3/code/solve_q3_paper_a.py,modules/40_q3/paper/q3.tex#问题三的描述与分析,IN_BODY
FIG-Q3-PATH,Q3,modules/40_q3/figures/q3_multibeam_interference_schematic.png,空气--硅外延层--衬底多光束干涉光路,第三束及后续内部反射光如何形成,ANALYTIC_GEOMETRY,modules/40_q3/paper/q3.tex#多光束振幅递推与形成条件,IN_BODY
FIG-Q3-FIT,Q3,modules/40_q3/figures/editable/origin_templates/reference_png/15_Si双角度拟合带状曲线.png,硅晶圆双角度实测光谱与Airy拟合,Airy模型对两个角度主要条纹位置和谱形的解释程度,modules/40_q3/tables/q3_si_10deg_paper_a.csv|modules/40_q3/tables/q3_si_15deg_paper_a.csv,modules/40_q3/paper/q3.tex#硅厚度反演结果,IN_BODY
FIG-Q3-SIC,Q3,modules/40_q3/figures/editable/origin_templates/reference_png/21_(a) 双角度 dB 衰减脊线图(b) 角度相对差异面积图.png,SiC第三束反射的指数包络去趋势谱形及双角度相对差异,去除主指数衰减后谱形如何变化且两个角度原始eta3的相对差异多大,modules/40_q3/tables/q3_sic_paper_a_backcheck.csv|output/results/q3_paper_a_results.json,modules/40_q3/paper/q3.tex#SiC结果回溯,IN_BODY
FIG-Q3-ID,Q3,modules/40_q3/figures/editable/origin_templates/reference_png/19_Si参数可辨识性气泡图.png,硅四参数Airy反演的局部可辨识性诊断,厚度与载流子附属参数的局部灵敏度和最弱奇异方向如何分布,modules/40_q3/tables/q3_identifiability_parameters.csv|modules/40_q3/tables/q3_identifiability_summary.csv,modules/40_q3/paper/q3.tex#Jacobian--SVD局部可辨识性,IN_BODY
